Date,Price,Open,High,Low,Vol.,Change %
8/29/2024,645.00,645.00,649.00,640.00,3.69K,-0.77%
8/28/2024,650.00,648.00,650.00,648.00,0.93K,0.31%
8/26/2024,648.00,650.00,650.00,641.00,2.82K,1.09%
8/23/2024,641.00,645.00,658.00,641.00,2.30K,-0.76%
8/22/2024,646.00,636.00,646.00,636.00,11.39K,1.10%
8/19/2024,639.00,630.00,639.00,630.00,2.17K,1.41%
8/16/2024,630.00,622.00,630.00,622.00,2.98K,0.80%
8/15/2024,625.00,625.00,625.00,625.00,0.01K,-0.32%
8/13/2024,627.00,625.00,627.00,625.00,0.30K,0.42%
8/12/2024,624.00,620.00,624.00,620.00,0.29K,0.71%
8/9/2024,620.00,608.00,620.00,600.00,1.31K,0.00%
8/8/2024,620.00,612.00,620.00,612.00,0.01K,0.00%
8/6/2024,620.00,620.00,620.00,615.00,3.26K,0.00%
8/5/2024,620.00,630.00,630.00,595.00,0.92K,-1.59%
8/2/2024,630.00,630.00,635.00,630.00,1.84K,0.00%
7/31/2024,630.00,630.00,630.00,625.00,2.79K,0.00%
7/29/2024,630.00,630.00,630.00,630.00,0.01K,0.00%
7/26/2024,630.00,629.00,635.00,629.00,3.48K,0.80%
7/25/2024,625.00,625.00,630.00,625.00,0.04K,-0.79%
7/23/2024,630.00,615.00,630.00,615.00,4.45K,0.16%
7/22/2024,629.00,629.00,629.00,615.00,5.01K,-0.16%
7/19/2024,630.00,620.00,630.00,620.00,3.41K,1.61%
7/18/2024,620.00,620.00,620.00,620.00,0.01K,-3.67%
7/17/2024,644.00,645.00,645.00,627.00,0.45K,2.65%
7/16/2024,627.00,610.00,627.00,610.00,1.02K,0.32%
7/12/2024,625.00,631.00,631.00,624.00,1.21K,-1.09%
7/10/2024,632.00,632.00,632.00,632.00,0.00K,0.64%
7/8/2024,628.00,601.00,628.00,601.00,0.00K,-0.16%
7/2/2024,629.00,579.00,629.00,579.00,0.04K,-2.18%
7/1/2024,643.00,643.00,643.00,643.00,0.00K,6.26%
6/28/2024,605.00,610.00,610.00,605.00,1.12K,-0.82%
6/27/2024,610.00,610.00,610.00,610.00,0.06K,-4.31%
6/25/2024,638.00,605.00,638.00,605.00,0.80K,8.05%
6/24/2024,590.00,590.00,590.00,590.00,0.10K,-1.67%
6/21/2024,600.00,600.00,600.00,600.00,0.50K,0.00%
6/20/2024,600.00,600.00,601.00,600.00,6.15K,-4.76%
6/19/2024,630.00,624.00,630.00,624.00,0.49K,0.80%
6/14/2024,625.00,605.00,625.00,605.00,12.50K,2.46%
6/13/2024,610.00,610.00,610.00,610.00,2.01K,0.00%
6/12/2024,610.00,610.00,610.00,610.00,20.00K,-2.77%
6/10/2024,627.00,585.00,627.00,585.00,0.00K,5.69%
6/7/2024,594.00,593.00,628.00,593.00,0.21K,-5.78%
6/6/2024,630.00,582.00,630.00,582.00,0.12K,0.00%
6/5/2024,630.00,630.00,630.00,630.00,0.10K,-0.79%
6/4/2024,635.00,635.00,635.00,635.00,0.08K,0.00%
6/3/2024,635.00,635.00,635.00,635.00,0.08K,0.00%
5/31/2024,635.00,634.00,650.00,633.00,0.92K,2.42%
5/30/2024,620.00,620.00,620.00,610.00,2.05K,0.00%
5/28/2024,620.00,615.00,620.00,610.00,0.76K,0.81%
5/27/2024,615.00,615.00,615.00,615.00,4.07K,-2.07%
5/24/2024,628.00,596.00,635.00,596.00,0.67K,5.55%
5/23/2024,595.00,581.00,595.00,581.00,2.72K,2.59%
5/22/2024,580.00,580.00,580.00,580.00,2.01K,0.00%
5/21/2024,580.00,580.00,580.00,580.00,0.29K,-2.52%
5/20/2024,595.00,595.00,597.00,595.00,2.43K,-0.17%
5/17/2024,596.00,580.00,596.00,580.00,0.56K,2.76%
5/16/2024,580.00,581.00,581.00,580.00,0.14K,-0.17%
5/15/2024,581.00,590.00,590.00,580.00,3.42K,-2.68%
5/14/2024,597.00,597.00,597.00,597.00,0.18K,0.00%
