"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2024","310.00","312.00","312.50","309.05","30.47K","-0.64%"
"08/28/2024","312.00","312.00","312.00","310.00","14.04K","0.22%"
"08/27/2024","311.30","315.50","315.50","311.30","59.53K","-0.48%"
"08/26/2024","312.80","316.00","316.00","312.80","42.07K","-0.70%"
"08/23/2024","315.00","314.00","315.00","314.00","40.20K","-0.30%"
"08/22/2024","315.95","315.05","315.95","313.20","10.92K","0.29%"
"08/19/2024","315.05","311.40","315.95","311.40","13.88K","-0.27%"
"08/16/2024","315.90","312.00","316.00","311.00","17.25K","0.45%"
"08/15/2024","314.50","315.00","315.00","313.10","34.91K","0.45%"
"08/13/2024","313.10","312.10","315.00","312.10","28.92K","0.29%"
"08/12/2024","312.20","312.00","315.00","311.20","88.08K","-0.89%"
"08/09/2024","315.00","316.00","316.00","311.05","53.78K","0.32%"
"08/08/2024","314.00","310.00","314.00","309.00","33.06K","1.27%"
"08/07/2024","310.05","311.00","315.00","308.05","52.43K","0.02%"
"08/06/2024","310.00","305.25","311.00","305.25","48.14K","1.64%"
"08/05/2024","305.00","311.00","315.00","303.00","206.47K","-2.71%"
"08/02/2024","313.50","307.00","313.50","307.00","99.55K","1.16%"
"08/01/2024","309.90","309.00","310.00","306.00","114.02K","0.29%"
"07/31/2024","309.00","308.00","310.00","305.00","42.82K","0.65%"
"07/29/2024","307.00","307.00","307.00","306.00","13.62K","0.00%"
"07/26/2024","307.00","304.00","307.00","304.00","21.98K","0.99%"
"07/25/2024","304.00","300.00","305.00","299.10","23.07K","0.00%"
"07/24/2024","304.00","304.90","304.90","300.00","26.95K","1.33%"
"07/23/2024","300.00","300.00","308.00","300.00","30.73K","0.00%"
"07/22/2024","300.00","296.30","300.00","296.30","39.32K","0.00%"
"07/19/2024","300.00","305.00","305.00","300.00","17.92K","-3.23%"
"07/18/2024","310.00","310.00","310.00","307.50","185.14K","0.00%"
"07/17/2024","310.00","306.00","310.00","306.00","75.52K","1.31%"
"07/16/2024","306.00","305.00","310.00","305.00","41.94K","0.00%"
"07/15/2024","306.00","306.00","308.00","305.00","27.75K","-1.29%"
"07/12/2024","310.00","306.00","310.00","305.00","76.10K","1.97%"
"07/11/2024","304.00","300.05","310.10","300.00","113.00K","-0.65%"
"07/10/2024","306.00","299.40","306.00","298.00","27.14K","2.34%"
"07/09/2024","299.00","296.05","299.00","296.00","16.75K","0.34%"
"07/08/2024","298.00","295.05","298.00","295.05","17.64K","0.00%"
"07/05/2024","298.00","298.00","298.00","294.05","240.71K","1.02%"
"07/04/2024","295.00","295.00","295.00","294.00","102.83K","0.29%"
