Date,Price,Open,High,Low,Vol.,Change %
8/7/2024,930.00,930.00,930.00,930.00,0.00K,5.11%
8/6/2024,884.80,884.80,884.80,884.80,0.13K,0.00%
8/5/2024,884.80,884.80,884.80,884.80,3.00K,-1.69%
8/2/2024,900.00,900.00,900.00,900.00,0.03K,1.36%
8/1/2024,887.90,887.90,887.90,887.90,5.12K,0.00%
7/31/2024,887.90,887.90,887.90,887.90,0.65K,4.21%
7/29/2024,852.00,852.00,852.00,852.00,0.21K,-2.62%
7/26/2024,874.90,874.90,874.90,874.90,1.08K,0.56%
7/24/2024,870.00,870.00,870.00,870.00,0.30K,-1.14%
7/23/2024,880.00,880.00,880.00,880.00,0.05K,0.00%
7/22/2024,880.00,880.00,880.00,880.00,0.40K,0.00%
7/19/2024,880.00,880.00,880.00,880.00,3.00K,0.00%
7/18/2024,880.00,880.00,880.00,880.00,1.50K,0.00%
7/17/2024,880.00,880.00,880.00,880.00,1.50K,-2.76%
7/16/2024,905.00,905.00,905.00,905.00,0.00K,5.23%
7/15/2024,860.00,860.00,860.00,860.00,0.04K,0.12%
7/12/2024,859.00,859.00,859.00,859.00,0.78K,-0.12%
7/11/2024,860.00,860.00,860.00,860.00,2.10K,5.13%
7/10/2024,818.00,818.00,818.00,818.00,0.24K,-5.98%
7/9/2024,870.00,870.00,870.00,870.00,0.01K,-8.42%
6/28/2024,950.00,950.00,950.00,950.00,0.90K,1.85%
6/25/2024,932.70,932.70,932.70,932.70,0.01K,5.99%
6/21/2024,880.00,880.00,880.00,880.00,0.21K,0.00%
6/20/2024,880.00,880.00,880.00,880.00,2.00K,-4.56%
6/19/2024,922.00,922.00,922.00,922.00,0.00K,5.98%
6/14/2024,870.00,870.00,870.00,870.00,0.38K,0.00%
6/13/2024,870.00,870.00,870.00,870.00,2.51K,0.00%
6/12/2024,870.00,870.00,870.00,870.00,2.00K,-2.25%
6/7/2024,890.00,890.00,890.00,890.00,0.40K,0.00%
6/5/2024,890.00,890.00,890.00,890.00,0.05K,-0.88%
6/4/2024,897.90,897.90,897.90,897.90,0.03K,-0.22%
5/31/2024,899.90,899.90,899.90,899.90,0.11K,1.35%
5/30/2024,887.90,887.90,887.90,887.90,0.17K,-0.24%
5/29/2024,890.00,890.00,890.00,890.00,0.10K,-0.88%
5/28/2024,897.90,897.90,897.90,897.90,0.05K,0.89%
5/27/2024,890.00,890.00,890.00,890.00,0.30K,-0.78%
5/24/2024,897.00,897.00,897.00,897.00,0.03K,0.79%
5/22/2024,890.00,890.00,890.00,890.00,0.00K,-0.89%
5/17/2024,898.00,898.00,898.00,898.00,0.49K,-0.21%
5/13/2024,899.90,899.90,899.90,899.90,0.35K,-0.01%
5/9/2024,900.00,900.00,900.00,900.00,,0.01%
5/8/2024,899.90,899.90,899.90,899.90,,-0.32%
5/3/2024,902.80,902.80,902.80,902.80,0.75K,-0.02%
5/2/2024,903.00,903.00,903.00,903.00,1.50K,0.00%
4/30/2024,903.00,903.00,903.00,903.00,2.20K,-1.85%
4/29/2024,920.00,920.00,920.00,920.00,1.85K,0.00%
4/26/2024,920.00,920.00,920.00,920.00,0.95K,3.37%
4/24/2024,890.00,890.00,890.00,890.00,0.01K,-2.94%
4/19/2024,917.00,917.00,917.00,917.00,0.04K,-0.22%
4/16/2024,919.00,919.00,919.00,919.00,0.01K,-0.11%
4/15/2024,920.00,920.00,920.00,920.00,0.05K,0.00%
4/4/2024,920.00,920.00,920.00,920.00,0.94K,0.00%
4/3/2024,920.00,920.00,920.00,920.00,0.06K,0.00%
4/1/2024,920.00,920.00,920.00,920.00,0.00K,2.22%
3/29/2024,900.00,900.00,900.00,900.00,1.04K,2.39%
3/27/2024,879.00,879.00,879.00,879.00,5.00K,-0.11%
3/26/2024,880.00,880.00,880.00,880.00,108.00K,0.11%
3/22/2024,879.00,879.00,879.00,879.00,4.00K,-0.11%
3/21/2024,880.00,880.00,880.00,880.00,3.21K,0.00%
3/20/2024,880.00,880.00,880.00,880.00,3.50K,0.00%
3/18/2024,880.00,880.00,880.00,880.00,0.00K,1.27%
